Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-11-11,Crandall,USTA,Crandall,2,1,4,8,0.333,8,5,0.615,2,1,12,2,0.917,3,3,4,1,11,1.73,6,1,13,0.385,0,0,0,6,13,2,3,4,0,0
2023-2024,2023-11-11,Crandall,USTA,Crandall,3,1,10,8,0.556,7,8,0.467,1,3,18,1.78,0.833,4,5,3,2,14,1.79,7,3,17,0.235,2,1,3,6,15,4,3,2,0,0
2023-2024,2023-11-11,Crandall,USTA,Crandall,4,1,0,7,0,6,5,0.545,0,3,7,0.57,0.571,2,3,1,2,8,1.63,3,2,5,0.2,0,0,0,3,5,0,0,0,0,1
2023-2024,2023-11-11,Crandall,USTA,Crandall,5,1,1,6,0.143,6,5,0.545,0,1,7,0.86,0.857,2,0,4,2,8,1.25,2,2,7,0,0,0,0,2,7,3,2,1,0,1
2023-2024,2023-11-11,Crandall,USTA,Crandall,6,1,1,6,0.143,5,3,0.625,1,3,7,1,0.571,2,3,1,1,7,1.86,3,3,8,0,0,0,0,2,7,2,1,0,0,0
2023-2024,2023-11-11,Crandall,USTA,USTA,1,1,4,6,0.4,8,1,0.889,1,2,10,1.4,0.8,5,3,1,0,9,2.44,6,1,14,0.357,0,0,0,6,14,3,1,1,0,0
2023-2024,2023-11-11,Crandall,USTA,USTA,2,1,7,8,0.467,8,4,0.667,2,3,15,1.53,0.8,3,5,1,2,11,1.82,10,1,14,0.643,0,1,1,10,14,7,4,1,0,0
2023-2024,2023-11-11,Crandall,USTA,USTA,3,1,7,8,0.467,8,9,0.471,2,1,15,2.27,0.933,4,5,3,1,13,1.92,6,8,18,-0.111,0,0,0,5,17,4,1,2,0,1
2023-2024,2023-11-11,Crandall,USTA,USTA,4,1,9,6,0.6,6,0,1,2,3,15,1.8,0.8,4,0,0,0,4,3,6,0,8,0.75,0,0,0,6,8,3,2,0,0,0
2023-2024,2023-11-11,Crandall,USTA,USTA,5,1,2,6,0.25,6,1,0.857,1,2,8,1.63,0.75,5,0,0,0,5,3,3,1,8,0.25,0,1,1,3,8,1,0,1,0,0
2023-2024,2023-11-11,Crandall,USTA,USTA,6,1,4,6,0.4,6,1,0.857,2,2,10,2.3,0.8,3,1,0,1,5,2.2,4,0,6,0.667,0,0,0,4,6,3,1,1,0,1
2023-2024,2023-11-12,STU,Crandall,Crandall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
