Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,2,"Unknown , UNB",1,2,0,0,5,1.8,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,1,1,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,3,"Unknown , UNB",1,2,0,2,9,1.11,0.778,0,0,0,0,0,-,2,2,7,0,1,2,3,1,1,2,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,6,"Unknown , UNB",1,3,0,1,5,1.2,0.8,3,1,7,2,13,1.38,7,7,18,0,1,3,4,0,1,4,1,-,-,1
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,7,"Unknown , UNB",1,4,4,3,17,2.24,0.824,4,7,5,1,17,1.82,15,6,32,0.281,0,2,2,2,3,5,2,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,9,"Unknown , UNB",1,2,1,2,9,1.22,0.778,0,0,0,0,0,-,2,1,8,0.125,0,1,1,1,1,2,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,11,"Unknown , UNB",1,4,0,4,6,1,0.333,0,0,0,0,0,-,3,1,6,0.333,0,4,4,0,2,0,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,12,"Unknown , UNB",1,4,2,4,21,1.71,0.81,6,4,2,1,13,2.15,8,0,26,0.308,0,1,1,1,2,6,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,13,"Unknown , UNB",1,4,0,0,0,-,-,10,2,5,2,19,2.05,0,0,1,0,0,0,0,1,10,9,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,16,"Unknown , UNB",1,2,0,0,7,1.43,1,0,0,0,0,0,-,1,0,2,0.5,0,1,1,1,4,1,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,16,Payton Sanipass,1,2,0,0,0,-,-,0,0,0,0,0,-,1,1,6,0,0,2,2,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,8,Shane Huggard,1,3,3,2,15,2.07,0.867,5,5,4,0,14,2.07,8,5,29,0.103,0,2,2,0,2,6,3,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,7,Jack Hillier,1,2,0,2,5,1,0.6,1,1,1,1,4,1.5,3,0,7,0.429,0,0,0,0,0,3,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,4,Bryce Stockford,1,3,1,3,9,1.33,0.667,0,0,0,0,0,-,2,0,7,0.286,0,3,3,1,1,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,14,Sam Tingley,1,3,0,3,12,1.67,0.75,0,0,0,0,0,-,0,0,1,0,0,0,0,19,57,8,1,-,-,1
2023-2024,2024-02-17,Crandall,USTA,CU,13,Colby Rhese,1,3,1,1,9,1.89,0.889,0,0,0,0,0,-,9,3,24,0.25,0,0,0,0,0,2,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,5,Austin Trites,1,3,0,0,0,-,-,12,17,3,2,34,2.15,0,0,1,0,0,0,0,2,10,9,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,11,Mason Stefaniuk,1,2,0,1,2,0.5,0.5,0,0,0,0,0,-,0,0,0,-,0,0,0,1,13,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,12,Noah MacDonald,1,3,2,4,12,1.33,0.667,0,0,0,1,1,0,0,1,6,-0.167,1,0,1,0,1,3,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,10,Liam Rafferty,1,2,0,1,4,1.75,0.75,2,0,3,0,5,1.8,2,4,7,-0.286,0,0,0,0,0,2,0,-,-,1
2023-2024,2024-02-17,Crandall,USTA,USTA,5,"Unknown , UST",1,3,0,2,9,1.22,0.778,0,0,0,0,0,-,8,3,19,0.263,1,1,2,0,3,3,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,6,"Unknown , UST",1,3,0,2,14,1.29,0.857,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,33,71,3,0,-,-,1
2023-2024,2024-02-17,Crandall,USTA,USTA,7,"Unknown , UST",1,3,0,0,0,-,-,6,6,3,2,17,1.94,0,0,0,-,0,0,0,0,1,5,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,8,"Unknown , UST",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,1,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,9,"Unknown , UST",1,2,0,4,5,0.4,0.2,5,4,2,2,13,1.92,4,3,18,0.056,0,0,0,0,1,5,3,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,10,"Unknown , UST",1,1,0,0,3,2.67,1,0,1,1,0,2,1.5,2,2,5,0,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,11,"Unknown , UST",1,3,2,2,20,2,0.9,2,3,1,0,6,2.17,14,5,29,0.31,0,0,0,1,3,12,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,12,"Unknown , UST",1,3,5,2,12,2.42,0.833,4,3,3,0,10,2.1,9,1,16,0.5,0,0,0,1,5,15,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,13,"Unknown , UST",1,2,0,3,9,1.22,0.667,0,0,0,0,0,-,1,2,4,-0.25,0,0,0,1,2,1,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,1,"Unknown , UST",1,1,1,1,6,2,0.833,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,4,"Unknown , UST",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,1,1,1,2,0,0,-,-,0
2023-2024,2024-09-28,Crandall,DAL AC,USTA,16,Payton Sanipass,1,4,1,2,12,1.67,0.833,0,0,0,0,0,-,4,4,15,0,0,0,0,0,0,4,4,-,-,0
