Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-11-24,Holland,Crandall,CU,5,Austin Trites,1,4,0,0,0,-,-,12,7,3,2,24,2.21,0,0,0,-,0,0,0,1,3,6,5,-,-,0
2023-2024,2023-11-24,Holland,Crandall,CU,6,Nate Haverko,1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,1,1,0,-,-,0
2023-2024,2023-11-24,Holland,Crandall,CU,11,Mason Stefaniuk,1,4,0,0,4,1.25,1,0,0,0,0,0,-,0,0,1,0,0,1,1,3,10,5,0,-,-,1
2023-2024,2023-11-24,Holland,Crandall,CU,12,Noah MacDonald,1,4,2,1,10,2.3,0.9,0,0,0,0,0,-,3,2,12,0.083,0,2,2,0,2,4,1,-,-,0
2023-2024,2023-11-24,Holland,Crandall,CU,10,Liam Rafferty,1,4,4,4,18,1.83,0.778,0,2,1,0,3,1.67,9,2,15,0.467,0,2,2,0,0,2,1,-,-,0
2023-2024,2023-11-24,Holland,Crandall,CU,15,James Jeffrey,1,4,0,1,7,1.86,0.857,1,1,2,0,4,1.75,2,5,11,-0.273,0,0,0,1,2,1,0,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,14,"Unknown , HC",1,3,1,3,19,1.11,0.842,0,0,0,0,0,-,2,0,6,0.333,0,0,0,29,76,6,2,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,1,"Unknown , HC",1,4,0,2,12,1.58,0.833,0,0,0,0,0,-,14,5,30,0.3,0,1,1,0,1,11,1,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,3,"Unknown , HC",1,4,0,0,0,-,-,5,4,2,1,12,2.08,0,0,0,-,0,0,0,4,9,8,2,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,4,"Unknown , HC",1,1,0,0,0,-,-,0,1,1,2,4,0.75,0,0,0,-,0,0,0,0,0,1,1,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,5,"Unknown , HC",1,4,2,1,14,2.07,0.929,7,4,0,2,13,2.23,11,1,17,0.588,1,1,2,1,2,4,2,-,-,1
2023-2024,2023-11-24,Holland,Crandall,Holland,6,"Unknown , HC",1,4,0,3,13,1.31,0.769,13,8,6,2,29,2.1,8,4,26,0.154,0,1,1,1,4,10,5,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,7,"Unknown , HC",1,1,0,0,1,2,1,0,0,0,0,0,-,1,1,3,0,0,0,0,1,0,0,0,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,8,"Unknown , HC",1,1,0,2,3,0.33,0.333,2,4,1,0,7,2.14,1,3,7,-0.286,0,1,1,0,0,1,0,-,-,1
2023-2024,2023-11-24,Holland,Crandall,Holland,9,"Unknown , HC",1,4,1,3,10,1.9,0.7,0,0,0,0,0,-,6,2,14,0.286,0,1,1,0,0,1,1,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,10,"Unknown , HC",1,3,1,1,7,2.14,0.857,1,2,0,1,4,1.75,2,2,5,0,0,1,1,0,0,1,0,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,11,"Unknown , HC",1,4,1,1,13,1.62,0.923,0,0,0,0,0,-,3,1,17,0.118,0,4,4,0,1,2,0,-,-,0
2023-2024,2023-11-24,Holland,Crandall,Holland,13,"Unknown , HC",1,1,2,0,5,3.2,1,0,0,1,0,1,1,0,0,0,-,0,0,0,9,23,0,1,-,-,0
2023-2024,2023-11-26,Crandall,UNBSJ,CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-26,Crandall,UNBSJ,UNBSJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-12-02,Holland,Crandall,CU,8,Shane Huggard,1,3,0,3,9,1.11,0.667,9,2,5,4,20,1.8,3,2,16,0.063,0,0,0,0,1,4,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,7,Jack Hillier,1,3,0,0,2,2,1,5,2,4,2,13,1.77,4,2,8,0.25,0,0,0,0,0,0,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,4,Bryce Stockford,1,2,0,0,4,2,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,9,Sam Reeder,1,1,0,1,1,0,0,0,0,0,0,0,-,0,0,1,0,0,1,1,6,17,0,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,CU,14,Sam Tingley,1,2,2,1,6,2.5,0.833,0,0,0,0,0,-,0,0,0,-,0,0,0,7,44,2,0,-,-,1
