Season,Date,TEAM,Setter Tendency,Position,A Att,A %,H %
2024-2025,2025-01-12,CU,First Ball,2,9,56.0%,44.4%
2024-2025,2025-01-12,CU,First Ball,3,8,75.0%,75.0%
2024-2025,2025-01-12,CU,First Ball,4,28,64.0%,53.6%
2024-2025,2025-01-12,CU,First Ball,5,1,0.0%,0.0%
2024-2025,2025-01-12,CU,First Ball,6,2,50.0%,50.0%
2024-2025,2025-01-12,CU,Transition,1,2,50.0%,50.0%
2024-2025,2025-01-12,CU,Transition,2,11,55.0%,36.4%
2024-2025,2025-01-12,CU,Transition,3,5,20.0%,0.0%
2024-2025,2025-01-12,CU,Transition,4,21,33.0%,9.5%
2024-2025,2025-01-12,CU,Transition,5,1,0.0%,0.0%
2024-2025,2025-01-12,CU,Transition,6,4,25.0%,0.0%
2024-2025,2025-01-12,UNBSJ,Overall,1,3,0.0%,-33.3%
2024-2025,2025-01-12,UNBSJ,Overall,2,34,41.0%,23.5%
2024-2025,2025-01-12,UNBSJ,Overall,3,17,47.0%,35.3%
2024-2025,2025-01-12,UNBSJ,Overall,4,51,33.0%,19.6%
2024-2025,2025-01-12,UNBSJ,Overall,5,2,100.0%,100.0%
2024-2025,2025-01-12,UNBSJ,Overall,6,2,0.0%,0.0%
2024-2025,2025-01-12,UNBSJ,First Ball,1,0,0.0%,0.0%
2024-2025,2025-01-12,UNBSJ,First Ball,2,24,38.0%,16.7%
2024-2025,2025-01-12,UNBSJ,First Ball,3,9,56.0%,55.6%
2024-2025,2025-01-12,UNBSJ,First Ball,4,32,44.0%,28.1%
2024-2025,2025-01-12,UNBSJ,First Ball,5,2,100.0%,100.0%
2024-2025,2025-01-12,UNBSJ,First Ball,6,2,0.0%,0.0%
2024-2025,2025-01-12,UNBSJ,Transition,1,3,0.0%,3330.0%
2024-2025,2025-01-12,UNBSJ,Transition,2,10,50.0%,40.0%
2024-2025,2025-01-12,UNBSJ,Transition,3,8,38.0%,12.5%
2024-2025,2025-01-12,UNBSJ,Transition,4,19,16.0%,5.3%
2024-2025,2025-01-12,UNBSJ,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-12,UNBSJ,Transition,6,0,0.0%,0.0%
2024-2025,2025-01-18,CU,Overall,1,4,0.0%,-50.0%
2024-2025,2025-01-18,CU,Overall,2,14,36.0%,21.4%
2024-2025,2025-01-18,CU,Overall,3,10,10.0%,-20.0%
2024-2025,2025-01-18,CU,Overall,4,27,30.0%,7.4%
2024-2025,2025-01-18,CU,Overall,5,0,0.0%,0.0%
2024-2025,2025-01-18,CU,Overall,6,4,0.0%,0.0%
2024-2025,2025-01-18,CU,First Ball,1,3,0.0%,-33.3%
2024-2025,2025-01-18,CU,First Ball,2,8,50.0%,37.5%
2024-2025,2025-01-18,CU,First Ball,3,7,14.0%,-14.3%
2024-2025,2025-01-18,CU,First Ball,4,18,33.0%,16.7%
2024-2025,2025-01-18,CU,First Ball,5,0,0.0%,0.0%
2024-2025,2025-01-18,CU,First Ball,6,2,0.0%,0.0%
2024-2025,2025-01-18,CU,Transition,1,1,0.0%,-100.0%
2024-2025,2025-01-18,CU,Transition,2,6,17.0%,0.0%
2024-2025,2025-01-18,CU,Transition,3,3,0.0%,-33.3%
2024-2025,2025-01-18,CU,Transition,4,9,22.0%,-11.1%
2024-2025,2025-01-18,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-18,CU,Transition,6,2,0.0%,0.0%
2024-2025,2025-01-18,STU,Overall,1,1,100.0%,100.0%
2024-2025,2025-01-18,STU,Overall,2,13,69.0%,61.5%
2024-2025,2025-01-18,STU,Overall,3,6,33.0%,16.7%
2024-2025,2025-01-18,STU,Overall,4,58,28.0%,10.3%
2024-2025,2025-01-18,STU,Overall,5,0,0.0%,0.0%
2024-2025,2025-01-18,STU,Overall,6,0,0.0%,0.0%
2024-2025,2025-01-18,STU,First Ball,1,1,100.0%,100.0%
2024-2025,2025-01-18,STU,First Ball,2,6,67.0%,50.0%
2024-2025,2025-01-18,STU,First Ball,3,1,0.0%,0.0%
2024-2025,2025-01-18,STU,First Ball,4,26,35.0%,26.9%
2024-2025,2025-01-18,STU,First Ball,5,0,0.0%,0.0%
2024-2025,2025-01-18,STU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-01-18,STU,Transition,1,0,0.0%,0.0%
2024-2025,2025-01-18,STU,Transition,2,7,71.0%,71.4%
2024-2025,2025-01-18,STU,Transition,3,5,40.0%,20.0%
2024-2025,2025-01-18,STU,Transition,4,32,22.0%,-3.1%
2024-2025,2025-01-18,STU,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-18,STU,Transition,6,0,0.0%,0.0%
2024-2025,2025-01-19,CU,Overall,1,7,0.0%,-28.6%
2024-2025,2025-01-19,CU,Overall,2,11,27.0%,-18.2%
2024-2025,2025-01-19,CU,Overall,3,10,40.0%,20.0%
2024-2025,2025-01-19,CU,Overall,4,26,46.0%,30.8%
2024-2025,2025-01-19,CU,Overall,5,2,50.0%,50.0%
2024-2025,2025-01-19,CU,Overall,6,3,33.0%,0.0%
2024-2025,2025-01-19,CU,First Ball,1,3,0.0%,0.0%
2024-2025,2025-01-19,CU,First Ball,2,4,50.0%,25.0%
2024-2025,2025-01-19,CU,First Ball,3,5,60.0%,60.0%
2024-2025,2025-01-19,CU,First Ball,4,20,45.0%,25.0%
2024-2025,2025-01-19,CU,First Ball,5,2,50.0%,50.0%
2024-2025,2025-01-19,CU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-01-19,CU,Transition,1,4,0.0%,-50.0%
2024-2025,2025-01-19,CU,Transition,2,7,14.0%,-42.9%
2024-2025,2025-01-19,CU,Transition,3,5,20.0%,-20.0%
2024-2025,2025-01-19,CU,Transition,4,6,50.0%,50.0%
2024-2025,2025-01-19,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-19,CU,Transition,6,3,33.0%,0.0%
2024-2025,2025-01-19,STU,Overall,1,4,50.0%,25.0%
2024-2025,2025-01-19,STU,Overall,2,16,44.0%,6.3%
2024-2025,2025-01-19,STU,Overall,3,10,60.0%,40.0%
2024-2025,2025-01-19,STU,Overall,4,42,48.0%,28.6%
2024-2025,2025-01-19,STU,Overall,5,2,0.0%,0.0%
2024-2025,2025-01-19,STU,Overall,6,2,0.0%,0.0%
2024-2025,2025-01-19,STU,First Ball,1,3,67.0%,33.3%
2024-2025,2025-01-19,STU,First Ball,2,12,42.0%,8.3%
2024-2025,2025-01-19,STU,First Ball,3,7,71.0%,57.1%
2024-2025,2025-01-19,STU,First Ball,4,21,38.0%,14.3%
2024-2025,2025-01-19,STU,First Ball,5,1,0.0%,0.0%
2024-2025,2025-01-19,STU,First Ball,6,1,0.0%,0.0%
2024-2025,2025-01-19,STU,Transition,1,1,0.0%,0.0%
2024-2025,2025-01-19,STU,Transition,2,4,50.0%,0.0%
2024-2025,2025-01-19,STU,Transition,3,3,33.0%,0.0%
2024-2025,2025-01-19,STU,Transition,4,21,57.0%,42.9%
2024-2025,2025-01-19,STU,Transition,5,1,0.0%,0.0%
2024-2025,2025-01-19,STU,Transition,6,1,0.0%,0.0%
2024-2025,2025-01-25,CU,Overall,1,4,50.0%,0.0%
2024-2025,2025-01-25,CU,Overall,2,23,26.0%,-217.0%
2024-2025,2025-01-25,CU,Overall,3,21,43.0%,33.3%
2024-2025,2025-01-25,CU,Overall,4,50,48.0%,40.0%
2024-2025,2025-01-25,CU,Overall,5,2,0.0%,-100.0%
2024-2025,2025-01-25,CU,Overall,6,1,0.0%,0.0%
2024-2025,2025-01-25,CU,First Ball,1,2,100.0%,100.0%
2024-2025,2025-01-25,CU,First Ball,2,11,27.0%,-27.3%
2024-2025,2025-01-25,CU,First Ball,3,17,53.0%,41.2%
2024-2025,2025-01-25,CU,First Ball,4,33,52.0%,424.0%
2024-2025,2025-01-25,CU,First Ball,5,2,0.0%,-100.0%
2024-2025,2025-01-25,CU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-01-25,CU,Transition,1,2,0.0%,-100.0%
2024-2025,2025-01-25,CU,Transition,2,12,25.0%,-16.7%
2024-2025,2025-01-25,CU,Transition,3,4,0.0%,0.0%
2024-2025,2025-01-25,CU,Transition,4,17,41.0%,35.3%
2024-2025,2025-01-25,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-25,CU,Transition,6,1,0.0%,0.0%
2024-2025,2025-01-25,Holland,Overall,1,5,40.0%,20.0%
2024-2025,2025-01-25,Holland,Overall,2,21,24.0%,-9.5%
2024-2025,2025-01-25,Holland,Overall,3,21,38.0%,33.3%
2024-2025,2025-01-25,Holland,Overall,4,48,33.0%,0.0%
2024-2025,2025-01-25,Holland,Overall,5,2,50.0%,0.0%
2024-2025,2025-01-25,Holland,Overall,6,5,40.0%,20.0%
2024-2025,2025-01-25,Holland,First Ball,1,2,50.0%,50.0%
2024-2025,2025-01-25,Holland,First Ball,2,16,19.0%,-25.0%
2024-2025,2025-01-25,Holland,First Ball,3,14,36.0%,28.6%
2024-2025,2025-01-25,Holland,First Ball,4,29,34.0%,6.9%
2024-2025,2025-01-25,Holland,First Ball,5,1,100.0%,100.0%
2024-2025,2025-01-25,Holland,First Ball,6,4,50.0%,50.0%
2024-2025,2025-01-25,Holland,Transition,1,3,33.0%,0.0%
2024-2025,2025-01-25,Holland,Transition,2,5,40.0%,40.0%
2024-2025,2025-01-25,Holland,Transition,3,7,43.0%,42.9%
2024-2025,2025-01-25,Holland,Transition,4,19,32.0%,-10.5%
2024-2025,2025-01-25,Holland,Transition,5,1,0.0%,-100.0%
2024-2025,2025-01-25,Holland,Transition,6,1,0.0%,-100.0%
2024-2025,2025-01-29,CU,Overall,1,0,0.0%,0.0%
2024-2025,2025-01-29,CU,Overall,2,19,32.0%,0.0%
2024-2025,2025-01-29,CU,Overall,3,19,37.0%,21.1%
2024-2025,2025-01-29,CU,Overall,4,30,33.0%,0.0%
2024-2025,2025-01-29,CU,Overall,5,0,0.0%,0.0%
2024-2025,2025-01-29,CU,Overall,6,1,0.0%,0.0%
2024-2025,2025-01-29,CU,First Ball,1,0,0.0%,0.0%
2024-2025,2025-01-29,CU,First Ball,2,12,33.0%,8.3%
2024-2025,2025-01-29,CU,First Ball,3,13,46.0%,30.8%
2024-2025,2025-01-29,CU,First Ball,4,17,29.0%,0.0%
2024-2025,2025-01-29,CU,First Ball,5,0,0.0%,0.0%
2024-2025,2025-01-29,CU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-01-29,CU,Transition,1,0,0.0%,0.0%
2024-2025,2025-01-29,CU,Transition,2,7,29.0%,-14.3%
2024-2025,2025-01-29,CU,Transition,3,6,17.0%,0.0%
2024-2025,2025-01-29,CU,Transition,4,13,38.0%,0.0%
2024-2025,2025-01-29,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-29,CU,Transition,6,1,0.0%,0.0%
2024-2025,2025-01-29,Holland,Overall,1,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,Overall,2,18,50.0%,38.9%
2024-2025,2025-01-29,Holland,Overall,3,25,44.0%,32.0%
2024-2025,2025-01-29,Holland,Overall,4,29,41.0%,31.0%
2024-2025,2025-01-29,Holland,Overall,5,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,Overall,6,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,First Ball,1,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,First Ball,2,11,45.0%,36.4%
2024-2025,2025-01-29,Holland,First Ball,3,16,50.0%,37.5%
2024-2025,2025-01-29,Holland,First Ball,4,18,44.0%,33.3%
2024-2025,2025-01-29,Holland,First Ball,5,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,First Ball,6,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,Transition,1,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,Transition,2,7,57.0%,42.9%
2024-2025,2025-01-29,Holland,Transition,3,9,33.0%,22.2%
2024-2025,2025-01-29,Holland,Transition,4,11,36.0%,27.3%
2024-2025,2025-01-29,Holland,Transition,5,0,0.0%,0.0%
2024-2025,2025-01-29,Holland,Transition,6,0,0.0%,0.0%
2024-2025,2025-02-08,CU,Overall,1,5,0.0%,-40.0%
2024-2025,2025-02-08,CU,Overall,2,24,29.0%,-4.2%
2024-2025,2025-02-08,CU,Overall,3,19,53.0%,52.6%
2024-2025,2025-02-08,CU,Overall,4,49,45.0%,28.6%
2024-2025,2025-02-08,CU,Overall,5,1,0.0%,0.0%
2024-2025,2025-02-08,CU,Overall,6,3,0.0%,0.0%
2024-2025,2025-02-08,CU,First Ball,1,2,0.0%,50.0%
2024-2025,2025-02-08,CU,First Ball,2,14,21.0%,-28.6%
2024-2025,2025-02-08,CU,First Ball,3,13,54.0%,53.8%
2024-2025,2025-02-08,CU,First Ball,4,22,41.0%,18.2%
2024-2025,2025-02-08,CU,First Ball,5,1,0.0%,0.0%
2024-2025,2025-02-08,CU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-02-08,CU,Transition,1,3,0.0%,-33.3%
2024-2025,2025-02-08,CU,Transition,2,10,40.0%,30.0%
2024-2025,2025-02-08,CU,Transition,3,6,50.0%,50.0%
2024-2025,2025-02-08,CU,Transition,4,27,48.0%,37.0%
2024-2025,2025-02-08,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-02-08,CU,Transition,6,3,0.0%,0.0%
2024-2025,2025-02-08,DAL AC,Overall,1,4,0.0%,-25.0%
2024-2025,2025-02-08,DAL AC,Overall,2,19,21.0%,5.3%
2024-2025,2025-02-08,DAL AC,Overall,3,21,38.0%,28.6%
2024-2025,2025-02-08,DAL AC,Overall,4,55,47.0%,30.9%
2024-2025,2025-02-08,DAL AC,Overall,5,5,0.0%,0.0%
2024-2025,2025-02-08,DAL AC,Overall,6,4,25.0%,0.0%
2024-2025,2025-02-08,DAL AC,First Ball,1,2,0.0%,0.0%
2024-2025,2025-02-08,DAL AC,First Ball,2,11,27.0%,9.1%
2024-2025,2025-02-08,DAL AC,First Ball,3,14,50.0%,50.0%
2024-2025,2025-02-08,DAL AC,First Ball,4,26,54.0%,42.3%
2024-2025,2025-02-08,DAL AC,First Ball,5,4,0.0%,0.0%
2024-2025,2025-02-08,DAL AC,First Ball,6,1,0.0%,-100.0%
2024-2025,2025-02-08,DAL AC,Transition,1,2,0.0%,-50.0%
2024-2025,2025-02-08,DAL AC,Transition,2,8,13.0%,0.0%
2024-2025,2025-02-08,DAL AC,Transition,3,7,14.0%,-14.3%
2024-2025,2025-02-08,DAL AC,Transition,4,29,41.0%,20.7%
2024-2025,2025-02-08,DAL AC,Transition,5,1,0.0%,0.0%
2024-2025,2025-02-08,DAL AC,Transition,6,3,33.0%,33.3%
2024-2025,2025-02-09,CU,Overall,1,1,0.0%,-100.0%
2024-2025,2025-02-09,CU,Overall,2,20,35.0%,5.0%
2024-2025,2025-02-09,CU,Overall,3,19,32.0%,10.5%
2024-2025,2025-02-09,CU,Overall,4,31,23.0%,320.0%
2024-2025,2025-02-09,CU,Overall,5,0,0.0%,0.0%
2024-2025,2025-02-09,CU,Overall,6,2,0.0%,0.0%
2024-2025,2025-02-09,CU,First Ball,1,0,0.0%,0.0%
2024-2025,2025-02-09,CU,First Ball,2,12,25.0%,-16.7%
2024-2025,2025-02-09,CU,First Ball,3,9,33.0%,22.2%
2024-2025,2025-02-09,CU,First Ball,4,17,24.0%,-17.6%
2024-2025,2025-02-09,CU,First Ball,5,0,0.0%,0.0%
2024-2025,2025-02-09,CU,First Ball,6,1,0.0%,0.0%
2024-2025,2025-02-09,CU,Transition,1,1,0.0%,-100.0%
2024-2025,2025-02-09,CU,Transition,2,8,50.0%,37.5%
2024-2025,2025-02-09,CU,Transition,3,10,30.0%,0.0%
2024-2025,2025-02-09,CU,Transition,4,14,21.0%,14.3%
2024-2025,2025-02-09,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-02-09,CU,Transition,6,1,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,Overall,1,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,Overall,2,15,27.0%,6.7%
2024-2025,2025-02-09,DAL AC,Overall,3,17,35.0%,17.6%
2024-2025,2025-02-09,DAL AC,Overall,4,45,24.0%,-2.2%
2024-2025,2025-02-09,DAL AC,Overall,5,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,Overall,6,3,33.0%,-33.3%
2024-2025,2025-02-09,DAL AC,First Ball,1,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,First Ball,2,8,38.0%,12.5%
2024-2025,2025-02-09,DAL AC,First Ball,3,11,36.0%,9.1%
2024-2025,2025-02-09,DAL AC,First Ball,4,23,35.0%,13.0%
2024-2025,2025-02-09,DAL AC,First Ball,5,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,First Ball,6,1,100.0%,100.0%
2024-2025,2025-02-09,DAL AC,Transition,1,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,Transition,2,7,14.0%,0.0%
2024-2025,2025-02-09,DAL AC,Transition,3,6,33.0%,33.3%
2024-2025,2025-02-09,DAL AC,Transition,4,22,14.0%,-18.2%
2024-2025,2025-02-09,DAL AC,Transition,5,0,0.0%,0.0%
2024-2025,2025-02-09,DAL AC,Transition,6,2,0.0%,-100.0%
2024-2025,2025-02-14,CU,Overall,1,0,0.0%,0.0%
2024-2025,2025-02-14,CU,Overall,2,10,30.0%,-10.0%
2024-2025,2025-02-14,CU,Overall,3,22,27.0%,4.5%
2024-2025,2025-02-14,CU,Overall,4,39,26.0%,-2.6%
2024-2025,2025-02-14,CU,Overall,5,1,0.0%,0.0%
2024-2025,2025-02-14,CU,Overall,6,2,50.0%,50.0%
2024-2025,2025-02-14,CU,First Ball,1,0,0.0%,0.0%
2024-2025,2025-02-14,CU,First Ball,2,6,17.0%,-33.3%
2024-2025,2025-02-14,CU,First Ball,3,14,36.0%,14.3%
2024-2025,2025-02-14,CU,First Ball,4,22,36.0%,18.2%
2024-2025,2025-02-14,CU,First Ball,5,1,0.0%,0.0%
2024-2025,2025-02-14,CU,First Ball,6,0,0.0%,0.0%
2024-2025,2025-02-14,CU,Transition,1,0,0.0%,0.0%
2024-2025,2025-02-14,CU,Transition,2,4,50.0%,25.0%
2024-2025,2025-02-14,CU,Transition,3,8,13.0%,-12.5%
2024-2025,2025-02-14,CU,Transition,4,17,12.0%,-29.4%
2024-2025,2025-02-14,CU,Transition,5,0,0.0%,0.0%
2024-2025,2025-02-14,CU,Transition,6,2,50.0%,50.0%
2024-2025,2025-02-14,USTA,Overall,1,2,0.0%,-50.0%
2024-2025,2025-02-14,USTA,Overall,2,24,67.0%,62.5%
2024-2025,2025-02-14,USTA,Overall,3,15,33.0%,6.7%
2024-2025,2025-02-14,USTA,Overall,4,29,48.0%,27.6%
2024-2025,2025-02-14,USTA,Overall,5,1,0.0%,0.0%
2024-2025,2025-02-14,USTA,Overall,6,0,0.0%,0.0%
2024-2025,2025-02-14,USTA,First Ball,1,1,0.0%,-100.0%
2024-2025,2025-02-14,USTA,First Ball,2,15,67.0%,60.0%
2024-2025,2025-02-14,USTA,First Ball,3,11,36.0%,0.0%
2024-2025,2025-02-14,USTA,First Ball,4,14,43.0%,28.6%
2024-2025,2025-02-14,USTA,First Ball,5,0,0.0%,0.0%
2024-2025,2025-02-14,USTA,First Ball,6,0,0.0%,0.0%
2024-2025,2025-02-14,USTA,Transition,1,1,0.0%,0.0%
2024-2025,2025-02-14,USTA,Transition,2,9,67.0%,66.7%
2024-2025,2025-02-14,USTA,Transition,3,4,25.0%,25.0%
2024-2025,2025-02-14,USTA,Transition,4,15,53.0%,26.7%
2024-2025,2025-02-14,USTA,Transition,5,1,0.0%,0.0%
2024-2025,2025-02-14,USTA,Transition,6,0,0.0%,0.0%
2024-2025,2025-02-15,CU,Overall,1,4,25.0%,25.0%
2024-2025,2025-02-15,CU,Overall,2,13,38.0%,15.4%
2024-2025,2025-02-15,CU,Overall,3,19,26.0%,10.5%
2024-2025,2025-02-15,CU,Overall,4,53,32.0%,20.8%
2024-2025,2025-02-15,CU,Overall,5,2,0.0%,-50.0%
2024-2025,2025-02-15,CU,Overall,6,4,0.0%,-50.0%
2024-2025,2025-02-15,CU,First Ball,1,3,0.0%,0.0%
2024-2025,2025-02-15,CU,First Ball,2,8,25.0%,0.0%
2024-2025,2025-02-15,CU,First Ball,3,12,33.0%,8.3%
2024-2025,2025-02-15,CU,First Ball,4,31,32.0%,25.8%
2024-2025,2025-02-15,CU,First Ball,5,1,0.0%,0.0%
2024-2025,2025-02-15,CU,First Ball,6,1,0.0%,0.0%
2024-2025,2025-02-15,CU,Transition,1,1,100.0%,100.0%
2024-2025,2025-02-15,CU,Transition,2,5,60.0%,40.0%
2024-2025,2025-02-15,CU,Transition,3,7,14.0%,14.3%
2024-2025,2025-02-15,CU,Transition,4,22,32.0%,13.6%
2024-2025,2025-02-15,CU,Transition,5,1,0.0%,-100.0%
2024-2025,2025-02-15,CU,Transition,6,3,0.0%,66.7%
2024-2025,2025-02-15,USTA,Overall,1,7,57.0%,42.9%
2024-2025,2025-02-15,USTA,Overall,2,20,55.0%,40.0%
2024-2025,2025-02-15,USTA,Overall,3,23,48.0%,21.7%
2024-2025,2025-02-15,USTA,Overall,4,44,48.0%,34.1%
2024-2025,2025-02-15,USTA,Overall,5,2,0.0%,-50.0%
2024-2025,2025-02-15,USTA,Overall,6,1,100.0%,100.0%
2024-2025,2025-02-15,USTA,First Ball,1,1,100.0%,100.0%
2024-2025,2025-02-15,USTA,First Ball,2,13,46.0%,30.8%
2024-2025,2025-02-15,USTA,First Ball,3,14,50.0%,21.4%
2024-2025,2025-02-15,USTA,First Ball,4,25,52.0%,40.0%
2024-2025,2025-02-15,USTA,First Ball,5,1,0.0%,-100.0%
2024-2025,2025-02-15,USTA,First Ball,6,0,0.0%,0.0%
2024-2025,2025-02-15,USTA,Transition,1,6,50.0%,33.3%
2024-2025,2025-02-15,USTA,Transition,2,7,71.0%,57.1%
2024-2025,2025-02-15,USTA,Transition,3,9,44.0%,22.2%
2024-2025,2025-02-15,USTA,Transition,4,19,42.0%,26.3%
2024-2025,2025-02-15,USTA,Transition,5,1,0.0%,0.0%
2024-2025,2025-02-15,USTA,Transition,6,1,100.0%,100.0%
